JUGADOR;NACIONALIDAD;FECHA;F_JUEGO;LOCAL;VISITANTE;MARCADOR;POSICION;GOLES;ASISTENCIAS;T.A.;S.T.A;T.R.;M_INICIAL;M_FINAL;"TIEMPO 
JUGADO";COMPETENCIA
Romelu Lukaku;Belgium;Group B;12/06/2021;Belgium;Russia;3:00;Delantero;2;0;0;0;0;0;0;90;EURO 2020
Romelu Lukaku;Belgium;Group B;17/06/2021;Denmark;Belgium;1:02;Delantero;0;0;0;0;0;0;0;90;EURO 2020
Romelu Lukaku;Belgium;Group B;21/06/2021;Finland;Belgium;0:02;Delantero;1;0;0;0;0;0;84;84;EURO 2020
Romelu Lukaku;Belgium;Round of 16;27/06/2021;Belgium;Portugal;1:00;Delantero;0;0;0;0;0;0;0;90;EURO 2020
Romelu Lukaku;Belgium;Quarter-Finals;2/07/2021;Belgium;Italy;1:02;Delantero;1;0;0;0;0;0;0;90;EURO 2020
Romelu Lukaku;Belgium;Group H;14/09/2021;Chelsea;Zenit S-Pb;1:00;Delantero;1;0;0;0;0;0;0;90;UEFA CHAMPIONS LEAGUE
Romelu Lukaku;Belgium;Group H;29/09/2021;Juventus;Chelsea;1:00;Delantero;0;0;0;0;0;0;0;90;UEFA CHAMPIONS LEAGUE
Romelu Lukaku;Belgium;Group H;20/10/2021;Chelsea;Malmo FF;4:00;Delantero;0;1;0;0;0;0;23;23;UEFA CHAMPIONS LEAGUE
Romelu Lukaku;Belgium;15;3/01/2021;Inter  (2);Crotone  (19);6:02;Delantero;1;1;0;0;0;0;75;75;SERIE A
Romelu Lukaku;Belgium;16;6/01/2021;Bolonia (11);Inter  (2);2:01;Delantero;0;0;0;0;0;63;0;27;SERIE A
Romelu Lukaku;Belgium;17;10/01/2021;AS Roma  (4);Inter  (2);2:02;Delantero;0;0;1;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;18;17/01/2021;Inter  (2);Juventus  (3);2:00;Delantero;0;0;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;19;23/01/2021;Udinese Calcio  (15);Inter  (2);0:00;Delantero;0;0;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;20;30/01/2021;Inter  (2);Benevento  (11);4:00;Delantero;2;0;0;0;0;0;81;81;SERIE A
Romelu Lukaku;Belgium;21;5/02/2021;Fiorentina  (12);Inter  (2);0:02;Delantero;0;0;0;0;0;0;89;89;SERIE A
Romelu Lukaku;Belgium;22;14/02/2021;Inter  (2);Lazio  (4);3:01;Delantero;2;1;1;0;0;0;90;90;SERIE A
Romelu Lukaku;Belgium;23;21/02/2021;AC Milan  (2);Inter  (1);0:03;Delantero;1;1;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;24;28/02/2021;Inter  (1);Genoa  (11);3:00;Delantero;1;1;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;25;4/03/2021;Parma  (19);Inter  (1);1:02;Delantero;0;1;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;26;8/03/2021;Inter  (1);Atalanta BC  (4);1:00;Delantero;0;0;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;27;14/03/2021;Torino  (17);Inter  (1);1:02;Delantero;1;0;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;29;3/04/2021;Bologna  (11);Inter  (1);0:01;Delantero;1;0;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;28;7/04/2021;Inter  (1);Sassuolo (8);2:01;Delantero;1;1;0;0;0;0;0;90;SERIE A
Romelu Lukaku;Belgium;30;11/04/2021;Inter  (1);Cagliari Calcio  (18);1:00;Delantero;0;0;0;0;0;0;0;90;SERIE A
